sex	status	age	survived
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	1.0
female	first	adult	0.0
female	first	adult	0.0
female	first	adult	0.0
female	first	adult	0.0
male	first	child	1.0
male	first	child	1.0
male	first	child	1.0
male	first	child	1.0
male	first	child	1.0
female	first	child	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	1.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
male	second	adult	0.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	1.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
female	second	adult	0.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
male	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
female	second	child	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	1.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
male	third	adult	0.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	1.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
female	third	adult	0.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	1.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
male	third	child	0.0
